Date /Time,Sensor,Salinity (g/Kg)
2021-08-11T00:09:13+10:00,Buoy 13,27.35
2021-08-11T00:24:25+10:00,Buoy 13,27.05
2021-08-11T00:54:46+10:00,Buoy 13,26.91
2021-08-11T01:23:59+10:00,Buoy 13,26.67
2021-08-11T01:38:45+10:00,Buoy 13,26.49
2021-08-11T01:54:01+10:00,Buoy 13,26.44
2021-08-11T02:09:11+10:00,Buoy 13,26.39
2021-08-11T02:24:32+10:00,Buoy 13,26.39
2021-08-11T02:39:36+10:00,Buoy 13,26.32
2021-08-11T00:41:25+10:00,Buoy 10,32.31
2021-08-11T01:41:37+10:00,Buoy 10,32.75
2021-08-11T02:41:13+10:00,Buoy 10,33.14
2021-08-11T03:41:31+10:00,Buoy 10,33.54
2021-08-11T04:41:37+10:00,Buoy 10,33.76
2021-08-11T05:41:21+10:00,Buoy 10,33.37
2021-08-11T06:41:31+10:00,Buoy 10,32.68
2021-08-11T07:41:33+10:00,Buoy 10,31.86
2021-08-11T08:41:14+10:00,Buoy 10,31.28
2021-08-11T09:41:31+10:00,Buoy 10,30.88
2021-08-11T00:35:27+10:00,Buoy 11,34.34
2021-08-11T00:50:15+10:00,Buoy 11,34.5
2021-08-11T01:04:58+10:00,Buoy 11,34.6
2021-08-11T01:20:01+10:00,Buoy 11,34.67
2021-08-11T01:35:29+10:00,Buoy 11,34.72
2021-08-11T02:05:08+10:00,Buoy 11,34.61
2021-08-11T02:19:52+10:00,Buoy 11,34.48
2021-08-11T02:35:10+10:00,Buoy 11,34.26
2021-08-11T02:49:54+10:00,Buoy 11,33.99
2021-08-11T03:04:44+10:00,Buoy 11,33.62
