Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec)
2021-08-04T00:05:33+10:00,32.555,49752,7.81,32443,4.19,22322998
2021-08-04T00:20:46+10:00,32.431,49582,7.81,32332,4.1,22323911
2021-08-04T00:35:45+10:00,32.334,49451,7.81,32247,4.23,22324810
2021-08-04T00:50:53+10:00,32.423,49572,7.68,32326,4.09,22325718
2021-08-04T01:05:23+10:00,32.296,49399,7.8,32213,4.1,22326588
2021-08-04T01:20:32+10:00,32.297,49399,7.81,32213,4.09,22327497
2021-08-04T01:35:33+10:00,32.317,49428,7.8,32232,4.2,22328399
2021-08-04T02:05:34+10:00,32.344,49464,7.8,32255,4.21,22330200
2021-08-04T02:50:48+10:00,32.488,49661,7.76,32384,4.1,22332914
2021-08-04T03:19:50+10:00,32.231,49310,8.14,32155,4.21,22334656
2021-08-04T03:34:59+10:00,32.39,49527,8.15,32296,4.1,22335565
2021-08-04T03:50:11+10:00,33.112,50510,7.54,32937,4.1,22336477
2021-08-04T04:20:31+10:00,33.107,50502,8.14,32932,4.16,22338297
2021-08-04T04:35:55+10:00,33.616,51194,8,33383,4.2,22339221
2021-08-04T04:51:07+10:00,33.68,51280,8.34,33440,4.08,22340133
2021-08-04T05:05:54+10:00,34.339,52173,8.07,34022,4.1,22341020
2021-08-04T05:51:08+10:00,35.208,53328,8.33,34775,4.07,22343734
2021-08-04T06:05:57+10:00,35.631,53864,8.21,35125,4.15,22344623
2021-08-04T06:21:24+10:00,35.784,54057,8.38,35251,4.09,22345550
2021-08-04T06:36:00+10:00,36.535,55004,7.94,35868,4.1,22346426
2021-08-04T06:51:14+10:00,37.099,55712,7.52,36330,4.19,22347340
2021-08-04T07:05:46+10:00,37.426,56121,7.18,36596,4.06,22348211
2021-08-04T07:20:41+10:00,37.219,55861,7.27,36427,4.06,22349106
2021-08-04T07:35:18+10:00,36.87,55424,7.44,36142,4.09,22349983
2021-08-04T07:50:05+10:00,36.773,55303,7.33,36063,4.06,22350870
2021-08-04T08:05:03+10:00,36.446,54892,7.4,35795,4.1,22351767
2021-08-04T08:20:10+10:00,36.228,54618,7.34,35616,4.21,22352675
2021-08-04T08:35:05+10:00,35.682,53929,7.53,35167,4.13,22353570
2021-08-04T08:49:40+10:00,35.279,53418,7.57,34834,4.13,22354445
2021-08-04T09:04:32+10:00,34.865,52882,7.58,34484,4.13,22355337
2021-08-04T09:19:17+10:00,34.505,52396,7.6,34168,4.22,22356222
2021-08-04T09:34:45+10:00,34.24,52038,7.6,33934,4.13,22357150
2021-08-04T10:04:09+10:00,33.71,51321,7.62,33466,4.21,22358914
2021-08-04T10:19:18+10:00,33.53,51078,7.62,33308,4.11,22359823
2021-08-04T10:34:30+10:00,33.336,50814,7.67,33136,4.13,22360735
2021-08-04T11:04:32+10:00,33.051,50427,7.72,32883,4.23,22362537
2021-08-04T11:19:27+10:00,32.915,50242,7.74,32763,4.13,22363432
2021-08-04T11:34:35+10:00,32.763,50034,7.79,32627,4.23,22364340
2021-08-04T11:49:39+10:00,32.545,49739,7.94,32434,4.23,22365244
2021-08-04T12:04:28+10:00,32.596,49807,7.81,32479,4.13,22366133
2021-08-04T12:19:17+10:00,32.489,49662,7.85,32384,4.16,22367022
2021-08-04T12:33:51+10:00,32.412,49557,7.88,32316,4.23,22367896
2021-08-04T13:18:17+10:00,32.256,49344,8.03,32177,4.13,22370562
2021-08-04T14:32:06+10:00,32.665,49902,8.29,32541,4.23,22374991
2021-08-04T15:01:52+10:00,32.97,50317,8.86,32812,4.23,22376777
2021-08-04T15:16:43+10:00,33.74,51362,8.59,33493,4.16,22377668
2021-08-04T15:47:03+10:00,34.672,52622,8.66,34315,4.16,22379488
2021-08-04T16:02:20+10:00,35.144,53247,8.66,34722,4.23,22380405
2021-08-04T16:16:56+10:00,35.47,53661,8.81,34992,4.11,22381281
2021-08-04T16:31:42+10:00,36.05,54394,8.73,35470,4.23,22382167
2021-08-04T16:47:02+10:00,36.568,55045,8.66,35895,4.13,22383087
2021-08-04T17:01:52+10:00,36.902,55465,8.67,36169,4.11,22383977
2021-08-04T17:16:49+10:00,37.141,55765,8.71,36364,4.11,22384874
2021-08-04T17:31:23+10:00,37.246,55895,8.74,36449,4.21,22385748
2021-08-04T17:46:48+10:00,37.439,56136,8.67,36606,4.23,22386673
2021-08-04T18:01:25+10:00,37.366,56046,8.87,36547,4.23,22387550
2021-08-04T18:16:53+10:00,37.527,56246,8.86,36678,4.21,22388477
2021-08-04T18:31:56+10:00,37.644,56393,8.93,36773,4.23,22389381
2021-08-04T19:01:29+10:00,38.536,57502,8.49,37497,4.2,22391153
2021-08-04T19:31:30+10:00,38.61,57594,8.4,37557,4.13,22392954
2021-08-04T20:32:32+10:00,38.169,57046,8.45,37200,4.21,22396617
2021-08-04T21:33:18+10:00,37.381,56064,8.34,36559,4.13,22400263
2021-08-04T22:33:57+10:00,36.944,55518,8.08,36203,4.16,22403902
2021-08-04T22:49:09+10:00,36.753,55278,8.02,36046,4.11,22404814
2021-08-04T23:03:47+10:00,36.545,55016,7.94,35876,4.1,22405692
2021-08-04T23:33:58+10:00,35.989,54317,7.9,35420,4.23,22407503
2021-08-04T23:48:48+10:00,35.669,53913,7.87,35156,4.11,22408393
