Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:00:10+10:00,33.61,51181,15.21,33375,4.17,11615247,0.01
2021-09-22T00:14:42+10:00,33.65,51239,15.11,33412,4.17,11616127,0.01
2021-09-22T00:29:35+10:00,33.53,51076,15.19,33307,4.16,11617020,0
2021-09-22T00:45:00+10:00,33.53,51076,15.14,33306,4.16,11617945,0
2021-09-22T01:00:07+10:00,33.39,50883,15.26,33181,4.17,11618851,0.01
2021-09-22T01:15:28+10:00,33.49,51022,15.07,33271,4.16,11619773,0.01
2021-09-22T01:30:31+10:00,33.13,50527,15.38,32949,4.16,11620676,0.02
2021-09-22T01:45:34+10:00,32.96,50304,15.43,32803,4.16,11621579,0.01
2021-09-22T02:00:16+10:00,32.78,50054,15.49,32640,4.16,11622458,0
2021-09-22T02:15:04+10:00,32.56,49762,15.55,32449,4.16,11623348,0.01
2021-09-22T02:30:26+10:00,32.38,49511,15.55,32286,4.16,11624270,0
2021-09-22T02:45:31+10:00,32.18,49244,15.56,32112,4.16,11625175,0.01
2021-09-22T03:00:12+10:00,32.01,49013,15.53,31961,4.16,11626056,0.01
2021-09-22T03:14:51+10:00,31.81,48739,15.53,31783,4.16,11626935,0.01
2021-09-22T03:29:56+10:00,31.6,48449,15.55,31593,4.16,11627840,0
2021-09-22T03:45:11+10:00,31.41,48192,15.55,31426,4.16,11628755,0
2021-09-22T04:00:22+10:00,31.31,48051,15.5,31334,4.16,11629666,0.01
2021-09-22T04:15:34+10:00,31.19,47881,15.51,31223,4.16,11630578,0.01
2021-09-22T04:30:13+10:00,31.14,47814,15.43,31179,4.16,11631457,0
2021-09-22T04:45:01+10:00,31.04,47678,15.43,31091,4.16,11632345,0
2021-09-22T04:59:59+10:00,30.85,47417,15.55,30921,4.16,11633243,0
2021-09-22T05:29:13+10:00,30.8,47344,15.49,30873,4.16,11634997,1.9
2021-09-22T05:44:32+10:00,30.83,47388,15.48,30901,4.16,11635916,14.56
2021-09-22T06:00:00+10:00,30.94,47542,15.35,31002,4.16,11636844,18.44
2021-09-22T06:14:51+10:00,31.13,47808,15.2,31175,4.16,11637735,20.26
2021-09-22T06:29:59+10:00,31.31,48049,15.09,31333,4.16,11638643,20.7
