Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:02:18+10:00,34.42,52283,15.33,34093,4.18,58634531,0
2021-09-22T00:17:10+10:00,34.49,52375,15.14,34154,4.18,58635424,0
2021-09-22T00:32:06+10:00,34.1,51856,15.46,33815,4.18,58636320,0.01
2021-09-22T00:46:59+10:00,34.22,52010,15.15,33915,4.18,58637213,0
2021-09-22T01:02:19+10:00,33.86,51525,15.41,33599,4.18,58638133,0
2021-09-22T01:17:05+10:00,33.84,51501,15.23,33583,4.18,58639019,0
2021-09-22T01:31:53+10:00,33.51,51055,15.45,33293,4.17,58639907,0
2021-09-22T01:46:39+10:00,33.44,50954,15.33,33227,4.18,58640793,0
2021-09-22T02:01:49+10:00,33.18,50608,15.39,33001,4.17,58641703,0
2021-09-22T02:16:38+10:00,32.94,50275,15.45,32784,4.18,58642592,0
2021-09-22T02:31:36+10:00,32.76,50030,15.41,32625,4.18,58643490,0
2021-09-22T02:46:57+10:00,32.6,49806,15.36,32479,4.19,58644411,0
2021-09-22T03:02:02+10:00,32.34,49461,15.42,32253,4.17,58645316,0
2021-09-22T03:17:12+10:00,32.15,49200,15.44,32083,4.17,58646226,0
2021-09-22T03:32:03+10:00,31.97,48954,15.42,31923,4.17,58647117,0.01
2021-09-22T03:47:13+10:00,31.8,48717,15.41,31768,4.18,58648027,0
2021-09-22T04:02:16+10:00,31.58,48424,15.43,31577,4.17,58648930,0
2021-09-22T04:17:09+10:00,31.42,48197,15.42,31429,4.17,58649823,0.02
2021-09-22T04:32:14+10:00,31.32,48068,15.34,31345,4.17,58650728,0
2021-09-22T04:47:02+10:00,31.19,47889,15.33,31228,4.17,58651616,0
2021-09-22T05:01:41+10:00,31.19,47886,15.2,31226,4.19,58652495,0
2021-09-22T05:16:33+10:00,31.04,47678,15.32,31090,4.17,58653387,0
2021-09-22T05:31:36+10:00,31.1,47766,15.2,31148,4.17,58654290,0.81
2021-09-22T05:46:42+10:00,31.07,47724,15.24,31121,4.17,58655195,3.68
2021-09-22T06:02:03+10:00,31.12,47793,15.21,31166,4.17,58656116,5.21
2021-09-22T06:16:36+10:00,31.23,47945,15.15,31265,4.17,58656989,15.55
2021-09-22T06:31:32+10:00,31.42,48201,15.03,31431,4.17,58657885,19.18
2021-09-22T06:46:57+10:00,31.56,48398,14.97,31560,4.17,58658810,20.44
2021-09-22T07:01:57+10:00,31.72,48615,14.93,31702,4.18,58659710,20.65
2021-09-22T07:17:17+10:00,31.79,48707,15.04,31761,4.18,58660630,20.69
2021-09-22T07:32:03+10:00,31.98,48965,15.05,31930,4.18,58661516,20.73
2021-09-22T07:46:43+10:00,32.22,49296,15.04,32146,4.17,58662396,20.69
2021-09-22T08:01:32+10:00,32.5,49672,15.05,32391,4.18,58663285,20.68
2021-09-22T08:16:12+10:00,32.76,50033,15.07,32626,4.18,58664165,20.45
2021-09-22T08:31:32+10:00,33.01,50379,15.1,32852,4.18,58665085,20.27
2021-09-22T08:46:47+10:00,33.21,50643,15.2,33024,4.18,58666000,20.23
2021-09-22T09:01:43+10:00,33.41,50912,15.3,33200,4.18,58666896,20.27
2021-09-22T09:31:52+10:00,33.9,51575,15.41,33632,4.17,58668705,20.46
2021-09-22T09:46:31+10:00,34.01,51731,15.58,33734,4.18,58669584,20.5
2021-09-22T10:01:45+10:00,34.35,52189,15.41,34032,4.17,58670498,20.65
2021-09-22T10:16:24+10:00,34.43,52290,15.45,34098,4.18,58671377,21.1
2021-09-22T10:31:40+10:00,34.42,52288,15.51,34097,4.18,58672293,21.23
2021-09-22T10:47:01+10:00,34.53,52434,15.4,34192,4.18,58673214,21.37
2021-09-22T11:01:41+10:00,34.32,52145,15.65,34004,4.17,58674094,21.32
2021-09-22T11:17:01+10:00,34.34,52173,15.63,34022,4.18,58675014,21.27
2021-09-22T11:32:06+10:00,34.32,52149,15.63,34006,4.18,58675919,21.34
2021-09-22T11:47:04+10:00,34.39,52238,15.52,34064,4.18,58676817,21.46
2021-09-22T12:02:29+10:00,34.26,52063,15.63,33950,4.18,58677742,21.42
2021-09-22T12:17:21+10:00,34.18,51956,15.66,33880,4.17,58678634,21.47
2021-09-22T12:32:13+10:00,34.16,51927,15.63,33861,4.18,58679526,21.52
2021-09-22T12:47:04+10:00,33.91,51598,15.86,33647,4.18,58680417,21.46
2021-09-22T13:02:15+10:00,34.01,51726,15.66,33730,4.17,58681328,21.51
2021-09-22T13:17:07+10:00,33.78,51409,15.79,33524,4.17,58682220,21.53
2021-09-22T13:32:10+10:00,33.52,51065,15.95,33299,4.18,58683123,21.45
2021-09-22T13:47:20+10:00,33.27,50730,15.97,33081,4.18,58684033,21.53
2021-09-22T14:02:35+10:00,33.01,50365,16.1,32843,4.17,58684948,21.34
2021-09-22T14:17:15+10:00,32.77,50046,16.17,32635,4.18,58685828,21.21
2021-09-22T14:32:05+10:00,32.49,49667,16.27,32388,4.18,58686718,21.22
2021-09-22T14:47:15+10:00,32.26,49350,16.32,32181,4.17,58687628,21.21
2021-09-22T15:01:54+10:00,32.11,49142,16.25,32046,4.18,58688507,21.09
2021-09-22T15:16:52+10:00,31.87,48815,16.27,31832,4.17,58689405,20.98
2021-09-22T15:31:47+10:00,31.64,48506,16.33,31630,4.17,58690300,21.05
2021-09-22T15:47:10+10:00,31.53,48347,16.27,31527,4.17,58691222,20.84
2021-09-22T16:02:02+10:00,31.34,48088,16.33,31358,4.17,58692114,20.57
2021-09-22T16:17:12+10:00,31.28,48009,16.33,31307,4.17,58693025,20.36
2021-09-22T16:32:03+10:00,31.18,47870,16.34,31216,4.18,58693916,20.1
2021-09-22T16:46:55+10:00,31.12,47794,16.33,31166,4.17,58694808,19.85
2021-09-22T17:01:53+10:00,31.15,47825,16.25,31186,4.17,58695706,19.49
2021-09-22T17:17:05+10:00,31.19,47880,16.19,31222,4.18,58696617,18.78
2021-09-22T17:32:24+10:00,31.22,47923,16.17,31250,4.18,58697536,15.47
2021-09-22T17:47:34+10:00,31.31,48043,16.12,31329,4.18,58698446,3.94
2021-09-22T18:02:21+10:00,31.39,48161,16.1,31406,4.17,58699333,3.7
2021-09-22T18:17:41+10:00,31.52,48334,16.09,31519,4.18,58700253,0.31
2021-09-22T18:32:50+10:00,31.66,48527,16.06,31645,4.17,58701162,0
2021-09-22T18:47:41+10:00,31.84,48781,15.99,31810,4.17,58702053,0
2021-09-22T19:02:31+10:00,32.01,49012,15.93,31960,4.17,58702943,0
2021-09-22T19:17:42+10:00,32.21,49278,15.86,32134,4.17,58703854,0
2021-09-22T19:32:51+10:00,32.33,49445,15.92,32243,4.17,58704763,0
2021-09-22T20:02:53+10:00,32.81,50101,15.87,32671,4.17,58706565,0
2021-09-22T20:18:09+10:00,33.01,50374,15.92,32849,4.17,58707481,0
2021-09-22T20:32:57+10:00,33.26,50709,15.89,33067,4.17,58708369,0
2021-09-22T20:47:38+10:00,33.49,51016,15.87,33267,4.17,58709250,0
2021-09-22T21:02:58+10:00,33.71,51317,15.86,33463,4.17,58710170,0
2021-09-22T21:17:39+10:00,33.95,51644,15.82,33677,4.17,58711051,0
2021-09-22T21:32:30+10:00,34.16,51932,15.81,33865,4.17,58711942,0
2021-09-22T21:47:51+10:00,34.34,52171,15.8,34020,4.17,58712863,0.01
2021-09-22T22:03:01+10:00,34.47,52356,15.76,34141,4.17,58713773,0
2021-09-22T22:18:23+10:00,34.55,52455,15.73,34206,4.17,58714695,0
2021-09-22T22:33:14+10:00,34.53,52425,15.8,34186,4.17,58715586,0
2021-09-22T22:48:39+10:00,34.57,52484,15.78,34225,4.17,58716511,0
2021-09-22T23:03:30+10:00,34.62,52546,15.73,34265,4.17,58717402,0.01
2021-09-22T23:18:26+10:00,34.64,52574,15.69,34284,4.17,58718298,0
2021-09-22T23:33:11+10:00,34.57,52482,15.74,34223,4.17,58719183,0
2021-09-22T23:48:20+10:00,34.53,52429,15.74,34189,4.17,58720092,0
