Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:03:06+10:00,36.68,55191,15.35,35990,4.15,58636848,0
2021-09-22T00:18:27+10:00,36.51,54968,15.41,35845,4.15,58637769,0
2021-09-22T00:33:16+10:00,36.36,54786,15.43,35726,4.15,58638658,0
2021-09-22T00:47:53+10:00,36.15,54525,15.49,35556,4.15,58639535,0.01
2021-09-22T01:02:39+10:00,35.95,54273,15.52,35391,4.15,58640421,0
2021-09-22T01:17:59+10:00,35.72,53979,15.53,35200,4.15,58641341,0.01
2021-09-22T01:32:50+10:00,34.33,52153,15.58,34009,4.15,58642232,0
2021-09-22T01:47:39+10:00,34.12,51882,15.58,33832,4.15,58643121,0
2021-09-22T02:02:16+10:00,33.93,51614,15.58,33658,4.15,58643998,0.01
2021-09-22T02:17:26+10:00,33.71,51318,15.59,33464,4.15,58644908,0
2021-09-22T02:32:16+10:00,33.5,51037,15.58,33281,4.15,58645798,0.01
2021-09-22T02:47:24+10:00,33.31,50778,15.53,33112,4.15,58646706,0
2021-09-22T03:02:44+10:00,33.05,50422,15.57,32880,4.15,58647626,0
2021-09-22T03:17:55+10:00,32.81,50098,15.58,32669,4.15,58648537,0
2021-09-22T03:33:18+10:00,32.62,49841,15.52,32501,4.15,58649460,0
2021-09-22T03:48:17+10:00,32.46,49618,15.47,32356,4.15,58650359,0
2021-09-22T04:02:56+10:00,32.28,49376,15.44,32198,4.15,58651238,0
2021-09-22T04:17:58+10:00,32.32,49430,15.47,32233,4.15,58652140,0
2021-09-22T04:33:19+10:00,32.21,49281,15.45,32136,4.15,58653061,0
2021-09-22T04:47:57+10:00,32.1,49137,15.45,32042,4.15,58653939,0
2021-09-22T05:03:03+10:00,32.13,49175,15.29,32067,4.15,58654844,0
2021-09-22T05:18:09+10:00,32.15,49198,15.19,32082,4.16,58655751,0.06
2021-09-22T05:33:39+10:00,32.25,49331,15.05,32168,4.15,58656681,2.39
2021-09-22T05:49:02+10:00,32.23,49311,15.11,32155,4.14,58657603,7.16
2021-09-22T06:04:16+10:00,32.3,49408,15.11,32219,4.15,58658518,6.39
2021-09-22T06:19:09+10:00,32.42,49571,15.1,32325,4.14,58659410,14.8
2021-09-22T06:34:27+10:00,32.54,49731,15.13,32429,4.15,58660329,18.29
2021-09-22T06:49:16+10:00,32.39,49523,15.2,32294,4.17,58661218,11.56
2021-09-22T07:04:13+10:00,32.68,49918,15.02,32551,4.17,58662115,11.75
2021-09-22T07:18:54+10:00,32.87,50178,14.98,32721,4.16,58662996,11.7
2021-09-22T07:34:03+10:00,33.12,50523,14.94,32946,4.18,58663905,11.69
2021-09-22T07:48:53+10:00,33.34,50823,14.96,33141,4.19,58664795,11.7
2021-09-22T08:03:42+10:00,33.56,51115,14.96,33332,4.19,58665684,11.68
2021-09-22T08:18:37+10:00,33.77,51408,14.97,33523,4.21,58666579,11.7
2021-09-22T08:33:18+10:00,34.03,51748,14.94,33745,4.22,58667460,19.88
2021-09-22T08:48:27+10:00,34.22,52011,14.95,33916,4.22,58668369,20.1
2021-09-22T09:03:07+10:00,34.23,52023,15.14,33924,4.22,58669249,19.99
2021-09-22T09:18:02+10:00,34.47,52344,15.07,34133,4.22,58670143,20.17
2021-09-22T09:33:26+10:00,34.62,52555,15.11,34271,4.22,58671068,20.43
2021-09-22T09:48:21+10:00,34.69,52646,15.23,34331,4.23,58671963,20.91
