Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:09:38+10:00,29.4,45413,15.61,29614,4.15,58638081,0
2021-09-22T00:24:48+10:00,29.33,45320,15.62,29553,4.14,58638992,0
2021-09-22T00:40:07+10:00,29.19,45124,15.65,29426,4.14,58639911,0.01
2021-09-22T00:54:46+10:00,29.03,44910,15.66,29286,4.14,58640790,0
2021-09-22T01:09:56+10:00,28.86,44678,15.66,29134,4.14,58641700,0
2021-09-22T01:39:59+10:00,28.49,44156,15.67,28794,4.14,58643503,0
2021-09-22T02:24:51+10:00,27.8,43191,15.72,28165,4.14,58646195,0
2021-09-22T02:39:33+10:00,27.57,42879,15.72,27961,4.13,58647077,0
2021-09-22T03:10:09+10:00,27.15,42287,15.67,27575,4.13,58648907,0
2021-09-22T03:40:13+10:00,26.65,41593,15.7,27122,4.13,58650717,0
2021-09-22T03:55:04+10:00,26.43,41284,15.68,26921,4.13,58651607,0.01
2021-09-22T04:10:17+10:00,26.19,40940,15.72,26697,4.13,58652521,0
2021-09-22T04:25:38+10:00,26.01,40689,15.68,26533,4.13,58653442,0
2021-09-22T04:40:31+10:00,25.89,40518,15.58,26422,4.13,58654335,0
2021-09-22T04:55:53+10:00,25.76,40344,15.5,26308,4.13,58655257,0
2021-09-22T05:10:33+10:00,25.61,40126,15.5,26166,4.13,58656137,0
2021-09-22T05:25:08+10:00,25.5,39973,15.44,26066,4.13,58657012,0.32
2021-09-22T05:40:04+10:00,25.4,39831,15.4,25973,4.13,58657908,4.05
2021-09-22T05:54:45+10:00,25.33,39735,15.34,25911,4.13,58658788,3.77
2021-09-22T06:09:49+10:00,25.29,39677,15.26,25873,4.13,58659693,5.42
2021-09-22T06:25:04+10:00,25.13,39439,15.43,25718,4.13,58660606,5.93
2021-09-22T06:39:42+10:00,25.12,39437,15.56,25716,4.13,58661485,7.97
2021-09-22T06:54:43+10:00,25.43,39873,15.26,26001,4.13,58662386,7.76
2021-09-22T07:10:09+10:00,25.97,40636,14.5,26499,4.13,58663312,21.11
2021-09-22T07:25:14+10:00,25.63,40152,15.19,26183,4.16,58664217,11.65
2021-09-22T07:40:20+10:00,26.38,41206,14.08,26870,4.19,58665123,11.64
2021-09-22T07:55:32+10:00,26.44,41287,13.98,26923,4.18,58666036,11.65
2021-09-22T08:10:37+10:00,26.11,40833,14.43,26627,4.2,58666940,19.34
2021-09-22T08:25:08+10:00,26.12,40837,14.43,26630,4.21,58667812,19.77
2021-09-22T08:40:09+10:00,25.79,40378,15.22,26330,4.21,58668707,20.14
2021-09-22T08:54:52+10:00,25.85,40465,15.46,26387,4.21,58669595,20.35
2021-09-22T09:09:31+10:00,25.98,40652,15.41,26509,4.21,58670474,20.05
2021-09-22T09:39:05+10:00,26.3,41092,15.52,26796,4.22,58672249,20.76
2021-09-22T09:54:14+10:00,26.44,41295,15.62,26928,4.21,58673158,20.94
2021-09-22T10:09:20+10:00,26.73,41702,15.74,27194,4.21,58674063,20.76
2021-09-22T10:23:55+10:00,27.12,42250,15.79,27551,4.21,58674938,20.48
2021-09-22T10:39:16+10:00,27.46,42717,15.95,27856,4.21,58675860,20.71
2021-09-22T11:24:31+10:00,28.37,43988,15.91,28685,4.21,58678575,20.92
2021-09-22T11:39:38+10:00,28.41,44041,16.14,28719,4.21,58679482,20.96
2021-09-22T11:54:49+10:00,28.5,44170,16.19,28803,4.23,58680393,21.05
2021-09-22T12:09:59+10:00,28.61,44319,16.13,28900,4.21,58681302,20.85
2021-09-22T12:24:53+10:00,28.55,44246,16.31,28853,4.21,58682196,20.82
2021-09-22T12:39:42+10:00,28.54,44226,16.32,28840,4.21,58683086,20.78
2021-09-22T12:54:47+10:00,28.48,44147,16.32,28788,4.21,58683991,21.03
2021-09-22T13:10:09+10:00,28.41,44050,16.32,28725,4.21,58684913,20.74
2021-09-22T13:25:14+10:00,28.32,43926,16.32,28644,4.21,58685818,20.87
2021-09-22T13:40:42+10:00,28.18,43725,16.34,28513,4.21,58686746,20.92
2021-09-22T13:55:53+10:00,27.99,43468,16.38,28345,4.21,58687657,20.86
2021-09-22T14:10:54+10:00,27.79,43184,16.43,28160,4.21,58688557,20.8
2021-09-22T14:26:02+10:00,27.6,42914,16.43,27984,4.21,58689466,20.75
2021-09-22T14:41:15+10:00,27.36,42588,16.5,27771,4.21,58690379,20.66
2021-09-22T14:56:00+10:00,27.13,42259,16.52,27557,4.21,58691263,20.48
2021-09-22T15:11:08+10:00,26.83,41838,16.64,27283,4.21,58692172,20.69
2021-09-22T15:26:13+10:00,26.59,41504,16.66,27065,4.21,58693077,20.55
2021-09-22T15:41:18+10:00,26.39,41227,16.6,26884,4.21,58693982,20.54
2021-09-22T15:55:56+10:00,26.15,40880,16.61,26658,4.22,58694860,21.11
2021-09-22T16:11:26+10:00,25.94,40584,16.57,26465,4.21,58695790,20.3
2021-09-22T16:26:51+10:00,25.67,40215,16.66,26224,4.2,58696715,19.9
2021-09-22T16:41:32+10:00,25.49,39961,16.65,26058,4.21,58697595,19.64
2021-09-22T16:56:37+10:00,25.36,39779,16.6,25940,4.2,58698501,18.84
2021-09-22T17:11:59+10:00,25.23,39592,16.59,25818,4.2,58699423,17.47
2021-09-22T17:26:35+10:00,25.04,39322,16.72,25642,4.2,58700299,14.01
2021-09-22T17:41:25+10:00,24.93,39164,16.77,25539,4.2,58701189,5.18
2021-09-22T17:56:04+10:00,24.96,39209,16.66,25568,4.2,58702068,5.61
2021-09-22T18:10:46+10:00,25.01,39271,16.58,25608,4.22,58702950,2.45
2021-09-22T18:26:08+10:00,24.94,39178,16.71,25548,4.2,58703872,0.09
2021-09-22T18:41:19+10:00,25.09,39388,16.56,25685,4.19,58704782,0
2021-09-22T18:56:08+10:00,25.24,39607,16.43,25828,4.2,58705672,0
2021-09-22T19:11:21+10:00,25.21,39564,16.6,25799,4.19,58706585,0
2021-09-22T19:25:53+10:00,25.39,39811,16.5,25961,4.19,58707457,0.01
2021-09-22T19:56:15+10:00,25.52,39993,16.72,26079,4.19,58709279,0
2021-09-22T20:10:46+10:00,26.05,40741,16.26,26567,4.19,58710150,0
2021-09-22T20:25:36+10:00,26.12,40841,16.49,26632,4.19,58711040,0
2021-09-22T20:40:59+10:00,26.57,41468,16.1,27041,4.19,58711962,0
2021-09-22T20:56:04+10:00,26.66,41605,16.26,27130,4.19,58712868,0
2021-09-22T21:11:25+10:00,26.75,41733,16.39,27214,4.19,58713789,0
2021-09-22T21:26:35+10:00,27.01,42099,16.25,27452,4.19,58714699,0
2021-09-22T21:56:42+10:00,27.4,42642,16.24,27806,4.19,58716506,0.01
2021-09-22T22:12:03+10:00,27.64,42967,16.2,28018,4.19,58717426,0
2021-09-22T22:26:47+10:00,27.98,43451,16.03,28334,4.18,58718310,0
2021-09-22T22:42:08+10:00,28.14,43672,15.86,28479,4.19,58719232,0
2021-09-22T23:12:08+10:00,28.49,44160,15.61,28797,4.19,58721032,0
2021-09-22T23:42:41+10:00,28.63,44350,15.79,28920,4.18,58722865,0
2021-09-22T23:57:25+10:00,28.76,44533,15.75,29039,4.18,58723749,0.01
