Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:02:21+10:00,31.64,48497,15.78,31625,4.15,19225658,0
2021-09-22T00:17:29+10:00,31.54,48363,15.79,31537,4.15,19226566,0
2021-09-22T00:47:11+10:00,31.27,47998,15.82,31299,4.15,19228348,0
2021-09-22T01:17:06+10:00,30.9,47493,15.83,30970,4.15,19230143,0
2021-09-22T01:32:11+10:00,30.68,47184,15.84,30769,4.14,19231048,0
2021-09-22T01:47:13+10:00,30.44,46855,15.85,30554,4.14,19231950,0
2021-09-22T02:02:24+10:00,30.23,46567,15.85,30366,4.14,19232861,0
2021-09-22T02:17:37+10:00,30,46255,15.84,30163,4.14,19233774,0
2021-09-22T02:32:29+10:00,29.76,45925,15.85,29948,4.14,19234666,0
2021-09-22T02:47:19+10:00,29.54,45618,15.85,29747,4.14,19235556,0
2021-09-22T03:02:30+10:00,29.31,45290,15.84,29533,4.14,19236467,0
2021-09-22T03:17:21+10:00,29.09,44993,15.8,29340,4.14,19237358,0
2021-09-22T03:32:31+10:00,28.87,44688,15.8,29141,4.13,19238268,0
2021-09-22T03:47:22+10:00,28.64,44359,15.84,28926,4.14,19239159,0
2021-09-22T04:02:27+10:00,28.5,44170,15.79,28803,4.13,19240064,0
2021-09-22T04:17:17+10:00,28.39,44020,15.74,28705,4.13,19240954,0
2021-09-22T04:32:16+10:00,28.31,43908,15.61,28632,4.13,19241853,0
2021-09-22T04:47:04+10:00,28.19,43736,15.61,28520,4.13,19242741,0
2021-09-22T05:01:45+10:00,28.07,43577,15.61,28416,4.13,19243622,0
2021-09-22T05:17:06+10:00,28,43478,15.56,28352,4.13,19244543,0.12
2021-09-22T05:31:58+10:00,27.96,43422,15.48,28316,4.13,19245435,5.01
2021-09-22T05:46:48+10:00,28.03,43518,15.26,28378,4.13,19246325,14.33
2021-09-22T06:17:00+10:00,27.9,43331,15.32,28256,4.13,19248137,11.6
2021-09-22T06:31:53+10:00,27.86,43276,15.38,28220,4.13,19249030,11.6
2021-09-22T06:47:13+10:00,27.94,43395,15.3,28298,4.13,19249950,11.61
2021-09-22T07:02:19+10:00,28.02,43504,15.32,28369,4.21,19250855,22.35
2021-09-22T07:17:27+10:00,28.15,43679,15.3,28483,4.19,19251764,20.36
2021-09-22T07:32:18+10:00,28.34,43943,15.26,28655,4.2,19252655,20.1
2021-09-22T07:47:31+10:00,28.41,44043,15.41,28720,4.17,19253567,11.6
