Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:04:25+10:00,32.7,49950,15.58,32572,4.18,11528457,0.03
2021-09-22T01:04:30+10:00,32.88,50188,15.46,32728,4.18,11532062,0.02
2021-09-22T02:04:26+10:00,33.28,50737,15.17,33085,4.18,11535658,0.01
2021-09-22T03:04:32+10:00,33.49,51019,14.88,33269,4.18,11539264,0.01
2021-09-22T04:04:13+10:00,33.29,50746,14.94,33092,4.18,11542845,0
2021-09-22T05:03:44+10:00,32.29,49391,15.6,32207,4.18,11546416,0
2021-09-22T06:04:06+10:00,31.76,48673,15.75,31740,4.18,11550037,19.45
2021-09-22T07:04:07+10:00,31.58,48413,15.58,31570,4.19,11553638,11.71
2021-09-22T08:04:18+10:00,31.53,48351,15.43,31530,4.22,11557249,21.91
2021-09-22T09:03:49+10:00,31.53,48350,15.41,31529,4.21,11560820,21.7
2021-09-22T10:03:54+10:00,31.51,48328,15.63,31514,4.21,11564425,21.87
2021-09-22T11:03:35+10:00,31.29,48017,16.17,31312,4.21,11568006,21.62
2021-09-22T12:03:48+10:00,31.18,47870,16.61,31216,4.2,11571619,22.2
2021-09-22T13:03:35+10:00,31.03,47670,17.03,31086,4.2,11575206,22.25
2021-09-22T14:04:00+10:00,31.05,47689,17.22,31098,4.2,11578831,22.15
2021-09-22T15:04:06+10:00,31.22,47925,17.38,31252,4.2,11582437,22.29
2021-09-22T16:03:57+10:00,31.36,48119,17.38,31378,4.22,11586028,21.63
2021-09-22T17:04:04+10:00,31.69,48571,16.68,31673,4.22,11589635,11.6
2021-09-22T18:04:15+10:00,31.75,48646,16.4,31722,4.21,11593246,11.48
2021-09-22T19:03:53+10:00,31.71,48604,16.28,31694,4.21,11596824,0.01
2021-09-22T20:03:42+10:00,31.66,48530,16.2,31647,4.21,11600412,0
2021-09-22T21:03:40+10:00,31.75,48656,16.11,31729,4.2,11604010,0.02
2021-09-22T22:03:44+10:00,31.83,48768,16.1,31801,4.2,11607614,0.01
2021-09-22T23:03:55+10:00,32.04,49043,15.96,31981,4.2,11611225,0
