Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:04:18+10:00,34.35,52194,11.29,34036,4.18,58636143,0
2021-09-22T00:18:57+10:00,34.37,52220,11.3,34052,4.18,58637022,0
2021-09-22T00:34:17+10:00,34.35,52191,11.33,34034,4.19,58637942,0
2021-09-22T00:49:03+10:00,34.32,52141,11.31,34001,4.18,58638828,0
2021-09-22T01:04:01+10:00,34.22,52009,11.32,33915,4.18,58639726,0
2021-09-22T01:18:50+10:00,34.05,51786,11.36,33770,4.18,58640615,0
2021-09-22T01:33:33+10:00,33.86,51519,11.37,33595,4.18,58641498,0
2021-09-22T01:48:23+10:00,33.62,51194,11.36,33384,4.18,58642388,0
2021-09-22T02:03:12+10:00,33.35,50840,11.36,33152,4.18,58643277,0
2021-09-22T02:17:59+10:00,33.05,50424,11.37,32882,4.18,58644164,0
2021-09-22T02:32:30+10:00,32.76,50036,11.37,32628,4.18,58645035,0.02
2021-09-22T02:47:40+10:00,32.49,49664,11.37,32386,4.18,58645945,0
2021-09-22T03:02:38+10:00,32.24,49318,11.37,32160,4.18,58646843,0
2021-09-22T03:17:46+10:00,32.01,49011,11.36,31960,4.18,58647751,0
2021-09-22T03:47:32+10:00,31.72,48605,11.18,31695,4.18,58649537,0
2021-09-22T04:02:50+10:00,31.77,48684,10.86,31747,4.18,58650455,0
2021-09-22T04:18:10+10:00,31.7,48592,10.68,31687,4.18,58651375,0
2021-09-22T04:33:26+10:00,31.44,48235,10.72,31454,4.18,58652291,0
2021-09-22T04:48:19+10:00,31.34,48089,10.61,31358,4.19,58653183,0
2021-09-22T05:03:00+10:00,31,47629,10.75,31059,4.18,58654065,0
2021-09-22T05:18:09+10:00,30.85,47415,10.66,30919,4.18,58654974,0
2021-09-22T05:33:29+10:00,30.5,46933,10.8,30605,4.17,58655894,1.03
2021-09-22T05:48:05+10:00,30.24,46577,10.86,30373,4.17,58656770,3.65
2021-09-22T06:02:52+10:00,29.88,46082,11.09,30050,4.17,58657657,4.77
2021-09-22T06:17:33+10:00,30,46255,10.75,30163,4.17,58658538,6.13
