Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:00:04+10:00,30.47,46889,15.91,30576,4.18,26629630,0.01
2021-09-22T00:14:55+10:00,30.23,46564,16,30364,4.18,26630522,0
2021-09-22T00:29:46+10:00,29.99,46239,16.02,30152,4.18,26631413,0.01
2021-09-22T00:44:56+10:00,29.73,45871,16.02,29912,4.18,26632323,0
2021-09-22T00:59:39+10:00,29.45,45486,16,29661,4.18,26633206,0
2021-09-22T01:14:30+10:00,29.18,45110,15.97,29416,4.18,26634097,0
2021-09-22T01:30:00+10:00,28.8,44593,16.01,29079,4.18,26635027,0.01
2021-09-22T01:44:51+10:00,28.49,44161,15.97,28797,4.18,26635918,0
2021-09-22T01:59:43+10:00,28.17,43719,15.97,28509,4.18,26636810,0.01
2021-09-22T02:15:07+10:00,27.84,43249,16.01,28203,4.18,26637734,0
2021-09-22T02:30:28+10:00,27.48,42745,16.01,27874,4.18,26638655,0
2021-09-22T02:45:55+10:00,27.19,42339,16.01,27609,4.18,26639582,0
2021-09-22T03:00:43+10:00,26.94,41988,16.01,27381,4.18,26640470,0
2021-09-22T03:15:30+10:00,26.69,41648,16.01,27159,4.19,26641357,0
2021-09-22T03:30:28+10:00,26.47,41339,15.97,26957,4.17,26642255,0.01
2021-09-22T03:45:08+10:00,26.21,40975,15.97,26720,4.18,26643135,0
2021-09-22T04:00:13+10:00,26.01,40695,15.95,26537,4.17,26644040,0
2021-09-22T04:15:27+10:00,25.87,40490,15.84,26403,4.17,26644953,0
2021-09-22T04:30:37+10:00,25.68,40221,15.84,26228,4.17,26645863,0
2021-09-22T04:45:43+10:00,25.55,40046,15.78,26114,4.18,26646769,0
2021-09-22T05:00:14+10:00,25.47,39932,15.79,26040,4.17,26647640,0
2021-09-22T05:15:34+10:00,25.42,39855,15.8,25990,4.17,26648561,0.01
2021-09-22T05:30:47+10:00,25.41,39846,15.77,25983,4.17,26649474,1.11
2021-09-22T05:45:27+10:00,25.45,39897,15.76,26016,4.17,26650354,4.05
2021-09-22T06:00:57+10:00,25.5,39963,15.78,26060,4.17,26651284,3.84
2021-09-22T06:16:02+10:00,25.62,40135,15.72,26172,4.19,26652189,6.33
2021-09-22T06:31:20+10:00,25.69,40242,15.78,26242,4.17,26653106,7.59
2021-09-22T06:46:32+10:00,25.96,40624,15.64,26490,4.17,26654019,15.71
