Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T00:04:25+10:00,26.97,42035,14.67,27411,4.17,41168743,0.02
2021-09-22T00:49:45+10:00,26.22,40980,15.91,26723,4.18,41171463,0.01
2021-09-22T01:34:56+10:00,26.21,40972,15.96,26717,4.18,41174174,0.02
2021-09-22T01:50:00+10:00,26.17,40911,15.97,26678,4.17,41175078,0.02
2021-09-22T02:50:13+10:00,25.85,40463,15.9,26386,4.16,41178691,0.02
2021-09-22T03:50:11+10:00,25.06,39341,15.78,25654,4.16,41182289,0.02
2021-09-22T05:34:41+10:00,23.83,37609,15.67,24524,4.16,41188559,6.09
2021-09-22T06:34:40+10:00,24.05,37907,15.9,24719,4.18,41192158,11.77
2021-09-22T07:20:15+10:00,24.77,38933,15.85,25388,4.21,41194892,22
2021-09-22T07:35:10+10:00,25.01,39284,15.85,25617,4.19,41195787,22.52
2021-09-22T08:35:35+10:00,26.16,40898,15.74,26670,4.19,41199412,22.17
2021-09-22T09:21:41+10:00,26.71,41667,15.85,27171,4.19,41202178,21.24
2021-09-22T09:36:27+10:00,26.76,41743,16.02,27220,4.19,41203064,21.5
2021-09-22T10:36:17+10:00,26.96,42023,16.56,27403,4.19,41206654,21.36
2021-09-22T11:06:44+10:00,26.79,41789,17.1,27250,4.18,41208481,21.72
2021-09-22T11:51:42+10:00,27.02,42113,16.83,27461,4.18,41211179,22.17
2021-09-22T14:21:44+10:00,26.26,41041,16.78,26763,4.18,41220181,22.3
2021-09-22T15:06:34+10:00,25.82,40417,16.72,26356,4.18,41222871,22.07
2021-09-22T17:35:45+10:00,24.38,38387,16.56,25032,4.19,41231822,11.67
2021-09-22T17:50:55+10:00,24.4,38412,16.37,25048,4.19,41232732,11.64
2021-09-22T18:06:08+10:00,24.4,38406,16.37,25044,4.19,41233645,10.42
2021-09-22T20:07:01+10:00,26.12,40847,15.91,26636,4.18,41240898,0
2021-09-22T22:51:10+10:00,27.44,42692,15.39,27839,4.18,41250746,0
2021-09-22T23:20:54+10:00,27.58,42885,14.77,27965,4.18,41252530,0.02
2021-09-22T23:35:43+10:00,27.61,42929,14.49,27994,4.17,41253419,0
