Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec)
2021-08-04T00:06:10+10:00,30.179,46496,12.32,30320,4.16,70201998
2021-08-04T01:06:22+10:00,30.004,46255,12.24,30163,4.1,70205610
2021-08-04T02:06:47+10:00,29.186,45124,12.78,29425,4.09,70209235
2021-08-04T03:07:07+10:00,28.699,44448,12.61,28984,4.09,70212855
2021-08-04T04:07:04+10:00,28.117,43639,12.86,28457,4.09,70216452
2021-08-04T05:06:53+10:00,27.871,43296,13.01,28233,4.11,70220041
2021-08-04T06:07:03+10:00,28.045,43539,12.97,28392,4.15,70223651
2021-08-04T07:06:54+10:00,28.538,44225,12.34,28839,4.1,70227242
2021-08-04T08:07:04+10:00,28.793,44579,11.99,29070,4.23,70230852
2021-08-04T09:07:24+10:00,28.811,44604,11.99,29086,4.23,70234472
2021-08-04T10:07:22+10:00,28.795,44582,12.06,29072,4.16,70238070
2021-08-04T11:07:32+10:00,28.618,44336,12.27,28911,4.23,70241680
2021-08-04T12:07:46+10:00,28.383,44009,12.47,28698,4.27,70245294
2021-08-04T13:07:50+10:00,28.231,43797,12.64,28560,4.1,70248898
2021-08-04T14:07:52+10:00,28.176,43720,12.65,28510,4.13,70252500
2021-08-04T15:07:47+10:00,27.91,43351,12.91,28269,4.23,70256095
2021-08-04T16:07:38+10:00,27.571,42878,13.51,27961,4.23,70259686
2021-08-04T17:07:14+10:00,27.911,43351,13.69,28269,4.09,70263262
2021-08-04T18:07:26+10:00,28.541,44228,13.69,28841,4.23,70266874
2021-08-04T19:07:45+10:00,29.309,45295,13.47,29536,4.13,70270493
2021-08-04T20:07:38+10:00,30.038,46301,13.28,30193,4.16,70274086
2021-08-04T21:07:44+10:00,30.759,47294,12.97,30841,4.22,70277692
2021-08-04T22:07:56+10:00,31.311,48051,12.78,31334,4.16,70281304
2021-08-04T23:07:43+10:00,31.612,48464,12.56,31603,4.13,70284891
